Animal ID,Other Identifiers,Response Date,Country,State,County,Location,Latitude,Longitude,Vital Status,Species,Sex,AgeClass,Confirmed Entanglement,Entanglement Type,Entanglement Fishery Certainty,Entanglement Fishery Type,Gear Location - Body,Gear Location - Head,Gear Location - Mouth,Gear Location - Left Pec Flipper,Gear Location - Right Pec Flipper,Gear Location - Tailstock,Gear Location - Flukes,Gear Location - Unknown,Gear Material - Buoy,Gear Material - Rope,Gear Material - Trap,Gear Material - Monofilament,Gear Material - Net,Gear Material - Other,Gear Material - Unknown
20180917Mn,,9/17/18,USA,Oregon,Clatsop,First seen 42NM offshore Cannon Beach; Liberty Gun reported ~27 nm WSW of the Columbia River,46.06669998,-124.6667023,Alive,Humpback Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
20180921Mn,,9/21/18,USA,California,San Diego,SE of San Clemente Island,32.58890152,-117.8531036,Dead,Humpback Whale,Unknown,Calf,Confirmed Entangled,Fishery,Confirmed,ComDungCrab,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No
20180927Mn,,9/27/18,USA,California,San Luis Obispo,"Morro Bay, about 4 miles SW of Morro Bay",35.36999893,-120.9599991,Alive,Humpback Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
20180929Mn,,9/29/18,USA,California,Monterey,Monterey,36.78499985,-122.0416565,Alive,Humpback Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,ComDungCrab,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No
20180930Mn_2,,9/30/18,USA,California,San Luis Obispo,Approx 20 miles out of Morro Bay,35.33263397,-121.3302841,Alive,Humpback Whale,Unknown,,Confirmed Entangled,Unknown,,Unknown,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
20181012Mn_1,,10/12/18,USA,California,Monterey,1 mile south of Cypress point-- off of Lone Cypress point.,36.57160187,-122.0338516,Alive,Humpback Whale,Unknown,Calf,Confirmed Entangled,Fishery,Confirmed,ComSpotPrawn,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
20181012Mn_2,,10/12/18,USA,California,San Mateo,just north of Pigeon Point near the wash rock.,,,Alive,Humpback Whale,Unknown,Adult,Confirmed Entangled,Fishery,Confirmed,ComDungCrab,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No
20181015Mn,,10/15/18,USA,California,Mendocino,"200-500 yards south of the Whistle buoy near Shelter Cove, Mendocino County",40.01372528,-124.0606613,Alive,Humpback Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No
20181104Mn,,11/4/18,USA,California,Monterey,approx 2 miles off of Marina,36.68000031,-121.8766632,Alive,Humpback Whale,Unknown,,Confirmed Entangled,Unknown,,Unknown,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No
20181117Mn,,11/17/18,USA,California,San Diego,Just outside the breakers near Mission beach,32.7733345,-117.2716675,Alive,Humpback Whale,Unknown,,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No
