Animal ID,Other Identifiers,Response Date,Country,State,County,Location,Latitude,Longitude,Vital Status,Species,Sex,AgeClass,Confirmed Entanglement,Entanglement Type,Entanglement Fishery Certainty,Entanglement Fishery Type,Gear Location - Body,Gear Location - Head,Gear Location - Mouth,Gear Location - Left Pec Flipper,Gear Location - Right Pec Flipper,Gear Location - Tailstock,Gear Location - Flukes,Gear Location - Unknown,Gear Material - Buoy,Gear Material - Rope,Gear Material - Trap,Gear Material - Monofilament,Gear Material - Net,Gear Material - Other,Gear Material - Unknown
19860224Er,,2/24/86,USA,California,Los Angeles,"Malibu, POINT DUME",,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19860304Er,,3/4/86,USA,California,Orange,"OFF BALBOA PIER, NEWPORT BEACH",,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
19860310Er,,3/10/86,USA,California,Orange,"OFF HORSESHOE KELP, HUNTINGTON BEACH",,,Alive,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19860322Er,,3/22/86,USA,California,Monterey,NEAR MONTEREY HARBOR ENTRANCE,,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Net,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No
19860331Er,,3/31/86,USA,California,Santa Barbara,OUTSIDE OF SANTA BARBARA HARBOR,,,Alive,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19860401Er,,4/1/86,USA,California,Santa Barbara,SANTA BARBARA,,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
19860402Er_1,,4/2/86,USA,California,San Diego,OFFSHORE OCEANSIDE,,,Alive,Gray Whale,Unknown,Calf,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
19860402Er_2,,4/2/86,USA,California,Santa Barbara,ABOUT 1/2 MILE OUT OF SANTA BARBARA HARBOR,,,Alive,Gray Whale,Unknown,Calf,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19860410Er,,4/10/86,USA,California,Santa Barbara,SANTA BARBARA COUNTY,,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
19860425Er_1,,4/25/86,USA,California,Los Angeles,"Malibu, PARADISE COVE",,,Alive,Gray Whale,Unknown,Adult,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No
19860425Er_2,,4/25/86,USA,California,Los Angeles,"OFF BELMONT OIL ISLAND, LONG BEACH",,,Alive,Gray Whale,Unknown,Calf,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No
19860427Er_2,Calf of 19860427Er_3,4/27/86,USA,California,Santa Barbara,"OFFSHORE REFUGIO STATE BEACH, SANTA BARBARA",,,Alive,Gray Whale,Unknown,Calf,Confirmed Entangled,Fishery,Confirmed,Net,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19860427Er_3,Mom of 19860427Er_2,4/27/86,USA,California,Santa Barbara,"OFFSHORE REFUGIO STATE BEACH, SANTA BARBARA",,,Alive,Gray Whale,Unknown,Adult,Confirmed Entangled,Fishery,Confirmed,Net,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19860427Er_1,,4/27/86,USA,California,San Diego,"ENCINITAS, SAN DIEGO",,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Net,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19861228Er,,12/28/86,USA,California,Los Angeles,"San Pedro, ALONG BREAKWATER",,,Alive,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19861231Er,,12/31/86,USA,California,Los Angeles,"San Pedro, 1000 YARDS OFFSHORE POINT FERMIN",,,Alive,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No
19870106Er,,1/6/87,USA,California,Los Angeles,1.5 MILES SOUTHWEST OF PALOS VERDES POINT,,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
19870122Er,,1/22/87,USA,California,Los Angeles,"Rancho Palos Verdes, BETWEEN ROCKY POINT AND POINT VICENTE",,,Alive,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19870129Er,LACNHM-JEH-346,1/29/87,USA,California,Los Angeles,Floating Between bluff cove and Lunada Bay and later stranded in Palos Verdes on 1/31/87,33.78300095,-118.4169998,Dead,Gray Whale,Female,Yearling,Confirmed Entangled,Fishery,Confirmed,Net,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No
19870205Er,,2/5/87,USA,California,Los Angeles,MALIBU; LA CHUSA POINT; WEST OF TRANCAS BEACH,,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No
19870305Er,,3/5/87,USA,California,Orange,"Newport Beach, OFF BALBOA PIER",,,Alive,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
19870402Er,,4/2/87,USA,California,San Diego,Oceanside,,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Net,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19870405Er,,4/5/87,USA,California,Ventura,Oxnard,,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
19870406Er,,4/6/87,USA,California,San Diego,Oceanside,,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19870410Er,,4/10/87,USA,California,Los Angeles,"Malibu, OFF POINT DUME",,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19870417Er,NMFS-SWFC-HJB-045,4/17/87,USA,California,San Diego,"Carlsbad, TIERRA DEL MAR REEF; SOUTH OF POWER PLANT",33.13299942,-117.3330002,Dead,Gray Whale,Male,Juvenile,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19870812Er,,8/12/87,USA,California,San Diego,21 MILES NORTHWEST OF POINT LOMA,,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
19871119Er,,11/19/87,USA,California,San Diego,APPROXIMATELY 5NM FROM POINT LOMA,,,Alive,Gray Whale,Unknown,Adult,Confirmed Entangled,Fishery,Confirmed,Gillnet,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No
19880116Er,,1/16/88,USA,California,Orange,"SEAL BEACH, 2 MILES OFFSHORE FEDERAL BREAKWATER",,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Gillnet,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No
19880128Er,,1/28/88,USA,California,San Diego,"San Diego, 1 MILE OFFSHORE; OCEAN BEACH AREA",,,Alive,Gray Whale,Unknown,Subadult,Confirmed Entangled,Fishery,Confirmed,ComDungCrab,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No
19880310Er,,3/10/88,USA,California,San Diego,"2 MILES OFFSHORE; IN FRONT OF ""CORONADO TOWERS""",32.62409973,-117.2074966,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Net,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19880316Er_2,,3/16/88,USA,California,Los Angeles,"Long Beach, 1 MILE SW OF HARBOR ENTRANCE BUOY; ABOUT 2 MILES OFFSHORE",,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19880317Er,LACNHM-JEH-377 (Stranding Field Number),3/17/88,USA,California,Los Angeles,"FLOATING 3.1 MILES OFF ANGEL'S GATE, SAN PEDRO",,,Dead,Gray Whale,Female,Yearling,Confirmed Entangled,Fishery,Confirmed,Net,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No
19880318Er_2,,3/18/88,USA,California,Los Angeles,"Palos Verdes, OFF POINT VICENTE 1/8 MILE",,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Gillnet,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
19880319Er,,3/19/88,USA,California,Orange,"Seal Beach, 3 MILES OFF BREAKWATER",,,Alive,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Unknown,,,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No
19880322Er,,3/22/88,USA,California,Orange,"Seal Beach, OFF ISLAND ESTER OIL PLATFORM",,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No
19880901Pm,,9/1/88,USA,California,Monterey,110 MILES SOUTH WEST OF MONTEREY,39.20000076,-123.7669983,Alive,Sperm Whale,Unknown,Adult,Confirmed Entangled,Fishery,Confirmed,Gillnet,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
19881022Er,,10/22/88,USA,California,Los Angeles,"ALAMITOS BAY, 3 MILES OFFSHORE;  LONG BEACH",,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Net,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
19881208Pm,,12/8/88,USA,California,Mendocino,"ROCKY COVE,  ALBION; 300 YARDS SOUTH OF NAVARRO RIDGE ROAD & HIGHWAY 1; FLOATING DEAD AT BASE OF A 100 FOOT CLIFF;",39.20299911,-123.7689972,Dead,Sperm Whale,Unknown,Subadult,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No
19890121Er,SBNMH-89-001,1/21/89,USA,California,Santa Barbara,SANTA BARBARA CHANNEL; NORTHWEST COAST OF SANTA CRUZ ISLAND,34,-119,Dead,Gray Whale,Male,Subadult,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No
19890212Uu,8902069,2/12/89,USA,California,Mendocino,MENDOCINO HEADLANDS STATE PARK,39.29999924,-123.8000031,Dead,Unknown,Unknown,Unknown,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No
19890314Er,,3/14/89,USA,California,Orange,"3/14/89: TWO MILES OFFSHORE HARBOR ENTRANCE, DANA POINT; 3/15/89: 14:30 sighted off Main Street, Laguna Beach",,,Alive,Gray Whale,Unknown,Adult,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
19890322Er,LACMNH-SKL-105,3/22/89,USA,California,Orange,1 1/2 MILE OFFSHORE; HALFWAY BETWEEN NEWPORT PIER AND SANTA ANA RIVER JETTY,33,-117.3000031,Dead,Gray Whale,Female,Subadult,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
19890411Er,,4/11/89,USA,California,Los Angeles,"1/8 MILE OFF OF MARINELAND, RANCHO PALOS VERDES",,,Alive,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No
19890504Er,,5/4/89,USA,California,Los Angeles,"1 1/2 MILES OFF OF LONG BEACH BREAKWATER, LONG BEACH",,,Alive,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
19900215Er,LACNHM-TDL-125,2/15/90,USA,California,Orange,1 MILE OFFSHORE; JUST SOUTH OF LAGUNA BEACH; LAGUNITA BEACH,33.51699829,-117.7600021,Dead,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Fishery,Confirmed,Gillnet,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
19900216Er,,2/16/90,USA,California,Santa Barbara,1/4 MILE SOUTHEST OF SEAWARD END OF STEARN'S WHARF,,,Alive,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Unknown,,,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
19900327Er,,3/27/90,USA,California,Santa Barbara,200 YARDS OFFSHORE SANTA BARBARA POINT; ARROYO BURRO BEACH,,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Gillnet,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
19900407Er,,4/7/90,USA,California,Los Angeles,"2 MILES OFFSHORE BELMONT PIER, LONG BEACH",,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
19900520Er,LML-ER-90MAY20,5/20/90,USA,California,Santa Cruz,"RED, WHITE, AND BLUE BEACH; 4 MILES NORTH OF SANTA CRUZ",36.95000076,-122.0169983,Dead,Gray Whale,Female,Adult,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No
19910102Er,CAS-RLD-369,1/2/91,USA,California,Sonoma,"FLOATING 1 MILE NORTHWEST OF BODEGA SEA BUOY, BODEGA BAY",38.29000092,-123.0859985,Dead,Gray Whale,Female,Adult,Confirmed Entangled,Unknown,,,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
19910310Er,,3/10/91,USA,California,Ventura,"NEAR PLATFORM GINA, VENTURA",,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Net,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19910331Pm,SBMNH-91-042,3/31/91,USA,California,San Luis Obispo,1.5 MILES SOUTHWEST OF HIGHWAY 1 AND HIGHWAY 46 INTERSECTION,35.5,-121.0830002,Dead,Sperm Whale,Male,Adult,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
19910924Er,,9/24/91,USA,California,Los Angeles,"1 MILE NORTH OF POINT VICENTE, RANCHO PALOS VERDES",,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
19911230Er,CAS-RLD-403,12/30/91,USA,California,Marin,"1/2 MILE OFFSHORE BODEGA HEAD, POINT REYES NS",38.15000153,-122.9670029,Dead,Gray Whale,Unknown,Subadult,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No
19920226Er,Stranding Report Exists (Other),2/26/92,USA,California,San Diego,"5 MILES OFFSHORE, POINT LOMA",32.66699982,-117.3330002,Dead,Gray Whale,Female,Calf,Confirmed Entangled,Unknown,,,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No
19920305Er,,3/5/92,USA,California,San Diego,11 MILES OFFSHORE POINT LOMA,32.63299942,-117.4000015,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
19920328Er,,3/28/92,USA,California,Santa Barbara,"1 MILE SOUTHEAST OF STEARN'S WHARF, SANTA BARBARA",34.38299942,-119.6500015,Alive,Gray Whale,Unknown,Subadult,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19921113Pm_3,DN-SD-0230,11/13/92,USA,California,Monterey,44 MILES OFF CARMEL,36.35200119,-122.7399979,Alive,Sperm Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,DriftGillnet,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No
19921113Pm_1,DN-SD-0230,11/13/92,USA,California,Monterey,44 MILES OFF CARMEL,36.35200119,-122.7399979,Alive,Sperm Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,DriftGillnet,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No
19921113Pm_2,DN-SD-0230,11/13/92,USA,California,Monterey,44 MILES OFF CARMEL,36.35200119,-122.7399979,Alive,Sperm Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,DriftGillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19921224Pm,SBMMC-92-139,12/24/92,USA,California,Santa Barbara,"SIMONTON COVE, SAN MIGUEL ISLAND, CHANNEL ISLANDS",34,-120,Dead,Sperm Whale,Male,Subadult,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19930206Er,,2/6/93,USA,California,Los Angeles,"2 MILES OFF OF POINT VICENTE, RANCHO PALOS VERDES",,,Alive,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Unknown,,,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
19930704Mn,,7/4/93,USA,California,Ventura,Santa Barbara Channel,,,Alive,Humpback Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Gillnet,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
19931026Pm,DN-LB-0305,10/26/93,USA,California,Monterey,30 MILES OFF CARMEL,36.2879982,-122.9309998,Dead,Sperm Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,DriftGillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19931220Pm_1,DN-LB-0347,12/20/93,USA,California,San Diego,160 MILES WEST OF SAN DIEGO,32.47499847,-120,Alive,Sperm Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,DriftGillnet,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No
19931220Pm_2,DN-LB-0347; RZH006,12/20/93,USA,California,San Diego,160 MILES WEST OF SAN DIEGO,32.47499847,-120,Alive,Sperm Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,DriftGillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19940305Uu,,3/5/94,USA,California,Santa Cruz,10 MILES OFFSHORE SANTA CRUZ HARBOR,,,Alive,Unknown,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Net,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No
19940321Er,,3/21/94,USA,California,Orange,"OFFSHORE BALBOA PIER, NEWPORT BEACH",,,Alive,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
19940403Er,,4/3/94,USA,California,Mendocino,1/4-1/3 MILE OFFSHORE HAVEN'S NECK; 1 MILE NORTH OF FISHROCKS,,,Alive,Gray Whale,Unknown,Adult,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
19940604Ba,,6/4/94,USA,California,San Diego,"1 MILE OFFSHORE MISSION BAY JETTY, SAN DIEGO",,,Alive,Minke Whale,Unknown,Calf,Confirmed Entangled,Fishery,Confirmed,Net,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
19940820Mn,DN-LB-0374,8/20/94,USA,California,San Diego,32 MILES NORTH WEST OF SAN DIEGO,32.66699982,-117.7180023,Alive,Humpback Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,DriftGillnet,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No
19940824Ba,,8/24/94,USA,California,San Luis Obispo,21 MILES SOUTHWEST OF MORRO BAY,,,Dead,Minke Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,DriftGillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19940911Er,,9/11/94,USA,California,Del Norte,CA/ OR STATE LINE,,,Dead,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Fishery,Confirmed,Net,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No
19950306Er,,3/6/95,USA,California,Los Angeles,"OFFSHORE ZUMA BEACH, MALIBU",,,Alive,Gray Whale,Unknown,Subadult,Confirmed Entangled,Fishery,Confirmed,ComLobster,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
19950310Er,SBMMC-95-15,3/10/95,USA,California,Santa Barbara,Summerland,,,Dead,Gray Whale,Unknown,Subadult,Confirmed Entangled,Fishery,Confirmed,Net,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No
19950408Er,CRC 428,4/8/95,USA,Washington,Jefferson,Queets; 1 mile N of town,,,Dead,Gray Whale,Female,Unknown,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
19950413Er,,4/13/95,USA,California,Santa Barbara,OFFSHORE FROM ARROYO BURRO BEACH,,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
19951102Oo,"DN-LB-0547, MSK0075",11/2/95,USA,California,Monterey,80 miles SW of Monterey,35.74000168,-122.8300018,Dead,Killer Whale,Male,Unknown,Confirmed Entangled,Fishery,Confirmed,DriftGillnet,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No
19960401Er,,4/1/96,USA,California,Del Norte,OFFSHORE 5 MILES SOUTH WEST OF CRESCENT CITY HARBOR,41.65000153,-124.1999969,Dead,Gray Whale,Unknown,Subadult,Confirmed Entangled,Unknown,,,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No
19960402Er,,4/2/96,USA,California,Orange,"5 MILES OFFSHORE BOLSA CHICA STATE BEACH, HUNTINGTON BEACH",,,Alive,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Unknown,,,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No
19960405Er,96-17,4/5/96,USA,California,Santa Barbara,"Montecito, OFFSHORE MIRAMAR BEACH",,,Alive,Gray Whale,Unknown,Subadult,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No
19960427Er_1,SBMH-96-31,4/27/96,USA,California,Santa Barbara,"CARCASSES FIRST SIGHTED ON TWO MILES OFFSHORE SUMMERLAND, 1.5 MILES SOUTH OF OIL PLATFORM HAZEL",34.41699982,-119.6169968,Dead,Gray Whale,Female,Adult,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No
19960427Er_2,SBMH-96-32,4/27/96,USA,California,Santa Barbara,"CARCASSES FIRST SIGHTED ON TWO MILES OFFSHORE SUMMERLAND, 1.5 MILES SOUTH OF OIL PLATFORM HAZEL",34.43299866,-119.6669998,Dead,Gray Whale,Male,Calf,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
19960502Er,,5/2/96,USA,California,Humboldt,"ARCHELETA BAY, EUREKA",40.84999847,-124.1829987,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
19960621Ba,DN-LB-0592; Specimen ID: LSE0065,6/21/96,USA,California,San Diego,100 MILES WEST OF SAN DIEGO,32.22999954,-118.8799973,Dead,Minke Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,DriftGillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19961210Pm,DN-LB-0643,12/10/96,USA,California,Monterey,70 MILES WEST OF MONTEREY,36.02600098,-122.8899994,Alive,Sperm Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,DriftGillnet,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No
19970407Er,,4/7/97,USA,California,Santa Barbara,"1 MILE OFFSHORE GOLETA PIER, GOLETA",,,Alive,Gray Whale,Unknown,Subadult,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
19970414Er,,4/14/97,USA,California,Humboldt,"OFFSHORE FROM PATRICK'S POINT, TRINIDAD",,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Unknown,,,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
19970509Er,,5/9/97,USA,California,Ventura,"SANTA BARBARA CHANNEL, ANACAPA ISLAND",34.09500122,-119.3710022,Alive,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No
19970524Er,,5/24/97,USA,California,Santa Barbara,"0.5 - 1.0 MILE SOUTH OF SURF BEACH PARKING LOT, VANDENBERG AIR FORCE",,,Dead,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Fishery,Confirmed,Gillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19970702Uu,,7/2/97,USA,California,Los Angeles,10 MILES OFFSHORE OF SANTA CATALINA ISLAND,33.38299942,-118.1500015,Alive,Unknown,Unknown,Adult,Confirmed Entangled,Unknown,,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
19970710Mn,,7/10/97,USA,California,San Mateo,OFFSHORE HALF MOON BAY,,,Alive,Humpback Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Other,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No
19980122Er,,1/22/98,USA,California,San Diego,35 MILES WEST OF SAN DIEGO,32.48600006,-117.6579971,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,DriftGillnet,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
19980228Er,,2/28/98,USA,California,Los Angeles,BETWEEN SAN PEDRO AND CATALINA ISLAND,,,Alive,Gray Whale,Unknown,Juvenile,Confirmed Entangled,Fishery,Confirmed,Net,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No
19980318Er,,3/18/98,USA,California,Los Angeles,"OFF POINT FERMIN, SAN PEDRO; 6.5 MILES OFF ANGELS GATE",,,Alive,Gray Whale,Unknown,Unknown,Confirmed Entangled,Fishery,Confirmed,Net,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
