National Database Number,Field Number,Common Name,State,County,City,Locality Detail,Latitude,Latitude Units,Longitude,Longitude Units,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,Fishery Type,Other Human Interaction,Other Human Int Description,Other Human Int Type,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,How Determined: Describe,Gear Collection,Other Findings upon Level Y/N,Other Findings - Illness Flag,Other Findings - Injury,Other Findings - Pregnant,Other Findings - Other,Other Findings - Descibe,Other Findings Type,Other Findings - Descibe,Observation Date,How Observed,Observation Status,Not Able to Examine,Date of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated,Disentangled,Euthanized at Site,Died at Site,Transferred to Rehabilitation,Date of Initial Disposition,Rehab Facility Name,Died During Transport,Euthanized During Transport,Other,Other Describe,Sick,Injured,Out of Habitat,Deemed Healthy/Releasable,Abandoned/Orphaned,Inaccesible,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD ,Condition Other,Condition Other Description,Entangled,Condition Comments,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Photos/Videos Taken,Carcass Left at Site,Carcass Buried,Carcass Rendered,Carcass Towed,Carcass Towed Lattitude,Carcass Towed Longitude,Carcass Sunk,Carcass Sunk Lattitude,Carcass Sunk Longitude,Carcass Frozen for Later Exam,Carcass Landfill,Carcass Unknown,Carcass Other,Carcass Other Description,Necropsied,Necropsy Limited,Date of Necropsy,Additional Remarks,
SW-2006-1057331,SBMNH-2006-04,"Whale, humpback",CA,Santa Barbara,Santa Barbara,"Arroyo Burro Beach, 1.25 mi W of Parking Lot",34.41004,decimal degrees,-119.76738,decimal degrees,Y,N,N,Y,,N,,,,,,,"rope marks on throat, peduncle and left flipper",N,N,N,N,,N,,,,5/9/06,Beach or Land,Moderate Decomposition,N,5/15/06,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,,860,cm,actual,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2006-1057269,SWFSC-KXD0106,"Whale, gray",CA,San Diego,CARDIFF,SEASIDE BEACH,33,decimal degrees,-117.283333,decimal degrees,CBD,N,N,N,,N,,,,,,,,N,CBD,N,N,,N,,,,5/13/06,Beach or Land,Advanced Decomposition,N,5/13/06,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,SUBADULT,762,cm,estimate,,,,N,Y,N,N,N,,,N,,,N,N,N,N,,N,,,"ANTERIOR VERTEBRAE EXPOSED, NO ORGANS IN BODY CAVITY - VERY FLUID AND IN SURF ZONE, ACTUAL MEASUREMENT NOT POSSIBLE. UNABLE TO EXAMINE GENITAL REGION FOR SEX DUE TO POSITION OF ANIMAL.",
SW-2006-1183205,SBMNH-2006-06,"Whale, unidentified baleen",CA,Santa Barbara,Vandenberg,,34.7428737,decimal degrees,-120.5845468,decimal degrees,CBD,N,N,N,,N,,,,,,,,N,N,N,N,,N,,,,6/15/06,,Mummified/Skeletal,Y,,Mummified/Skeletal,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,,1,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2006-1058499,MLML-MM-1324,"Whale, humpback",CA,Monterey,BIG SUR,"ANDREW MOLERA STATE PARK, 1/2 MILE SOUTH OF BIG SUR RIVER MOUTH",36.16.41,deg/min/sec,121.51.10,deg/min/sec,CBD,N,N,N,,N,,,,,,,,N,Y,N,N,,Y,Tested positive for domoic acid.,,Urine tested and contained 8.9 ng/mL,6/18/06,Beach or Land,Moderate Decomposition,N,6/18/06,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,SUBADULT,1180,cm,actual,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,Y,,6/20/06,,
SW-2006-1189349,TMMC-C-219,"Whale, gray",CA,Sonoma,,5550 Highway 1,38.38421,decimal degrees,-123.08293,decimal degrees,N,N,N,N,,N,,,,,,,,N,N,N,N,,N,,,,9/10/06,Beach or Land,Moderate Decomposition,N,9/10/06,Moderate Decomposition,N,N,N,N,N,N,N,,The Marine Mammal Center,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,YEARLING,710,cm,actual,0,kg,estimate,Y,Y,N,N,N,,,N,,,N,N,N,N,,Y,,9/10/06,"Dead < 1 week, shark predation suspected post-mortem, emaciated, limited necropsy & samples collected.",
SW-2006-1063117,SWFSC-KXD0112,"Whale, humpback",CA,San Diego,CARLSBAD,"SOUTH CARLSBAD STATE BEACH (NORTHERN END AT ""HOLE IN THE WALL"")",33.128718,decimal degrees,-117.333655,decimal degrees,CBD,N,N,N,,N,,,,,,,,N,CBD,N,N,,N,,,,11/15/06,,Advanced Decomposition,N,11/16/06,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,,762,cm,actual,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2007-1065955,MLML-MM-1414,"Whale, gray",CA,Monterey,MOSS LANDING,"NORTH END OF MONTEREY DUNES COLONY, SALINAS RIVER STATE BEACH",36.770556,decimal degrees,-121.799167,decimal degrees,CBD,N,N,N,,N,,,,,,,,N,Y,N,Y,,Y,ORCA ATTACK,Predation,RAKE MARKS; PART OF TONGUE MISSING,2/2/07,Beach or Land,Advanced Decomposition,N,2/2/07,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,YEARLING,500,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,CAUSE OF DEATH APPEARS TO BY INJURIES SUSTAINED BY ORCA ATTACK; LOTS OF RAKE MARKS ALL OVER BODY; FRONT PORTION OF TONGUE WAS MISSING,
SW-2007-1071085,HSU-VM-2662,"Whale, fin",CA,Mendocino,West Port,"2 MILES SOUTH OF WEST PORT ON HIGHWAY 1, CHADBOURNE GULCH",39.6083,decimal degrees,-123.784994,decimal degrees,N,N,N,N,,N,,,,,,,,N,N,N,N,,N,,,EXTERNAL EXAM,2/7/07,Beach or Land,Advanced Decomposition,N,2/9/07,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,ADULT,1925,cm,actual,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2007-1066771,LACM-DSJ-2217,"Whale, gray",CA,Los Angeles,LONG BEACH,"LONG BEACH CITY BEACH, AT OCEAN BOULEVARD & CHERRY STREET, LONG BEACH CITY BEACH",334546,deg/min/sec,1181005,deg/min/sec,CBD,N,N,N,,N,,,,,,,EXTERNAL EXAMINATION,N,CBD,N,N,,N,,,EXTERNAL EXAMINATION,3/23/07,,Advanced Decomposition,N,3/23/07,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,PUP/CALF,522,cm,actual,,,,Y,N,Y,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2007-1066943,MLML-MM-1435,"Whale, gray",CA,Monterey,PEBBLE BEACH,STILLWATER COVE NEAR THE 18TH HOLE BY THE LODGE,36.34.2,deg/min/sec,121.57.1,deg/min/sec,CBD,N,N,N,,N,,,,,,,,N,Y,N,N,,Y,WHALE WAS EXTREMELY EMACIATED,,EXTERNAL EXAM,4/2/07,Beach or Land,Fresh Dead,N,4/2/07,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,YEARLING,800,cm,estimate,,,,Y,N,N,N,Y,36.48.8,121.59.39,Y,36.48.8,121.59.39,N,N,N,N,,N,,,BARNACLES AND CYAMIDS STILL ALIVE; VERY FRESH CARCASS; NO APPARENT INJURIES; FIRST FOUND IN SURF ZONE; CRANE USED TO MOVE HIGHER UP ON BEACH,
