National Database Number,Field Number,Common Name,State,County,City,Locality Detail,Latitude,Latitude Units,Longitude,Longitude Units,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,Fishery Type,Other Human Interaction,Other Human Int Description,Other Human Int Type,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,How Determined: Describe,Gear Collection,Other Findings upon Level Y/N,Other Findings - Illness Flag,Other Findings - Injury,Other Findings - Pregnant,Other Findings - Other,Other Findings - Descibe,Other Findings Type,Other Findings - Descibe,Observation Date,How Observed,Observation Status,Not Able to Examine,Date of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated,Disentangled,Euthanized at Site,Died at Site,Transferred to Rehabilitation,Date of Initial Disposition,Rehab Facility Name,Died During Transport,Euthanized During Transport,Other,Other Describe,Sick,Injured,Out of Habitat,Deemed Healthy/Releasable,Abandoned/Orphaned,Inaccesible,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD ,Condition Other,Condition Other Description,Entangled,Condition Comments,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Photos/Videos Taken,Carcass Left at Site,Carcass Buried,Carcass Rendered,Carcass Towed,Carcass Towed Lattitude,Carcass Towed Longitude,Carcass Sunk,Carcass Sunk Lattitude,Carcass Sunk Longitude,Carcass Frozen for Later Exam,Carcass Landfill,Carcass Unknown,Carcass Other,Carcass Other Description,Necropsied,Necropsy Limited,Date of Necropsy,Additional Remarks,
SW-2010-1125566,TMMC-C-317,"Whale, gray",CA,San Francisco,,OFFSHORE BETWEEN ALCATRAZ ISLAND & FORT MASON,37.815,decimal degrees,-122.428,decimal degrees,CBD,N,N,N,,N,,,Y,N,Y,N,,N,N,N,N,N,N,,,,4/20/10,Floating,Fresh Dead,N,4/21/10,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,SUBADULT,1145,cm,actual,,kg,actual,Y,Y,N,N,N,,,N,,,N,N,N,N,,Y,limited,4/21/10,"FLOATING CARCASS; VESSEL TRAFFIC HAZARD; USCG TOWED WHALE TO CALTRANS MAINTENANCE YARD BEACH UNDER NORTHEAST END OF RICHMOND BRIDGE FOR POST-MORTEM EXAMINATION SPECIMENS COLLECTED: EYE, TONGUE, BALEEN, STOMACH CONTENTS, URINE, FECES & BLUBBER, MUSCLE, LUNG, CAROTID ARTERY, AORTA & LYMPH NODE SAMPLES TO THE MARINE MAMMAL CENTER SKIN SAMPLE TO SOUTHWEST FISHERIES SCIENCE CENTER LICE, CHEVRON, CAUDAL VERTEBRAE, HUMERUS, ULNA & PHALANGE TO CALIFORNIA ACADEMY OF SCIENCES BLUBBER SAMPLE TO MARINE CONSERVATION SCIENCE INSTITUTE SCAPULA, RIB, HYOID, VERTEBRA, PECTORAL FIN & RACK OF BALEEN CONSISTING OF 161 BALEEN PLATES TO PETER MENTH, LAWRENCE E. JONES MIDDLE SCHOOL (DOC-5273-F/SWR) BALEEN TO SAN DIEGO STATE UNIVERSITY TWO BALEEN SECTIONS TO SANTA MONICA PIER AQUARIUM (DOC-5309-F/SWR)",
SW-2010-1125576,TMMC-C-318,"Whale, gray",CA,Sonoma,,TIMBER COVE,38.53551,decimal degrees,-123.27898,decimal degrees,N,N,N,N,,N,,,N,N,Y,N,,,N,N,N,N,N,,,,4/21/10,Beach or Land,Moderate Decomposition,N,4/23/10,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,ADULT,1270,cm,actual,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,Y,,4/23/10,,
SW-2010-1125921,TMMC-C-319,"Whale, humpback",CA,San Mateo,,"ANO NUEVO STATE RESERVE (MONTEREY BAY NATIONAL MARINE SANCTUARY) SOUTH OF GAZOS CREEK, NORTH OF FRANKLIN POINT",37.15337,decimal degrees,-122.3595,decimal degrees,N,N,N,N,,N,,,N,N,Y,N,,,N,N,N,N,N,,,,4/30/10,Beach or Land,Moderate Decomposition,N,5/1/10,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,PUP/CALF,690,cm,actual,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,Y,,5/1/10,,
SW-2010-1115258,CDPR-DSB-2010-001,"Whale, gray",CA,Orange,DANA POINT,DANA POINT HARBOR,33.458749,decimal degrees,-117.693556,decimal degrees,Y,N,N,Y,Gillnet Fishery,N,,,Y,N,N,N,,Y,Y,Y,N,N,N,,,,5/11/10,Swimming,Alive,N,5/14/10,Fresh Dead,N,N,N,Y,N,N,N,,,N,N,N,,Y,Y,N,N,N,N,N,N,N,N,,,"EMACIATED; UNIDENTIFIED SMALL MESH GILLNET WRAPPED AROUND CAUDAL PEDUNCLE, ROPE RUNNING THROUGH MOUTH AND AROUND PECTORAL FLIPPER",UNKNOWN,PUP/CALF,312,in,actual,,,,Y,N,N,N,Y,,,N,,,N,N,N,N,,N,,,FREE-SWIMMING ANIMAL ENTANGLED IN GILLNET; ANIMAL FIRST OBSERVED INSIDE DANA POINT HARBOR ON 5/11/10; ANIMAL DISENTANGLED ON 5/12/10 & SWAM OUT OF HARBOR; ANIMAL OBSERVED ALIVE IN SURF ZONE FOR SEVERAL HOURS ON 5/14/10 OFF DOHENY STATE BEACH BEFORE WASHING UP DEAD ON BEACH,
SW-2010-1126456,TMMC-C-320,"Whale, gray",CA,San Francisco,SAN FRANCISCO,"ANGEL ISLAND STATE PARK, BELOW BATTERY DREW",37.8553,decimal degrees,-122.4395,decimal degrees,CBD,N,N,N,,N,,,Y,N,N,N,,,N,N,N,N,N,,,,5/13/10,,Fresh Dead,N,5/13/10,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,SUBADULT,1158,cm,actual,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,Y,limited,5/14/10,,
SW-2010-1126661,TMMC-C-322,"Whale, gray",CA,Marin,SAUSALITO,BLACKSAND BEACH (GOLDEN GATE NATIONAL RECREATION AREA),37.824,decimal degrees,-122.51,decimal degrees,CBD,N,N,N,,N,,,Y,N,N,N,,N,Y,N,Y,N,N,,,,5/17/10,Floating,Moderate Decomposition,N,6/6/10,Mummified/Skeletal,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,"FIRST OBSERVED FLOATING WEST OF ANGEL ISLAND, NAVY BOAT HELPED WITH INITIAL ASSESSMENT; INACCESSIBLE",MALE,SUBADULT,800,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,Y,,6/6/10,,
SW-2010-1127105,HSU-VM-2805,"Whale, humpback",CA,Mendocino,ELK COVE,GREENWOOD CREEK BEACH,39.126921,decimal degrees,-123.717658,decimal degrees,CBD,N,N,N,,N,,,Y,N,N,N,,N,N,N,N,N,N,,,,5/27/10,Beach or Land,Moderate Decomposition,N,5/28/10,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,PUP/CALF,680,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2010-1127514,HSU-VM-2806,"Whale, gray",CA,Del Norte,CRESENT CITY,"ENDERTS BEACH, SOUTH END",41.696653,decimal degrees,-124.142128,decimal degrees,CBD,N,N,N,,N,,,Y,N,N,N,,N,N,N,N,N,N,,,,6/5/10,Beach or Land,Moderate Decomposition,N,6/8/10,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,UNKNOWN,797,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,Animal was laying on its ventral surface but tilted to the right. Epidermal layer was gone on initial observation and carcass was very bloated. Collected blubber sample only.,
SW-2010-1122472,SBMNH-2010-17,"Whale, humpback",CA,Santa Barbara,Lompoc,"VANDENBERG AIR FORCE BASE, south of Purisima Point, north of Wall Beach",34.74222,decimal degrees,-120.023611,decimal degrees,CBD,N,N,N,,N,,,Y,N,N,N,,N,CBD,N,N,N,N,,,,7/6/10,Beach or Land,Moderate Decomposition,N,7/6/10,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,PUP/CALF,792,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2010-1142521,TMMC-C-327,"Whale, humpback",CA,Marin,,Slide Ranch,37.8756,decimal degrees,-122.6023,decimal degrees,Y,Y,N,N,,N,,,Y,N,N,N,,N,Y,N,Y,N,N,"trauma, boatstrike",,,7/25/10,,Fresh Dead,N,8/4/10,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,Y,N,N,N,N,N,N,N,N,,,,MALE,PUP/CALF,823,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2010-1122344,MLML-MM-2346,"Whale, humpback",CA,Monterey,Pt Sur,Pt Sur Lighthouse Station,36.30663,decimal degrees,-121.89954,decimal degrees,CBD,N,N,N,,N,,,Y,N,N,N,,N,CBD,N,N,N,N,,,,7/27/10,Floating,Advanced Decomposition,N,8/2/10,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,,468,in,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,"Attempted 4 times to secure animal for necropsy, however, the difference in tides did not allow for the animal to beach completely in a secure location. The beach the animal was located is highly active making necropsy very dangerous. As the animal washed in and out of the surf, we were able to collect barnacles, and examine the right side of the whale with certainty. The whale was washed in parallel to beach with only the right side visible. The whale was also orientated belly up, allowing for the sex to be determined. There were numerous barnacles, 20+ under throat, and distal lateral edge of right flipper, and along the distal caudal edges of fluke. No skin left on the fluke made photo fluke ID impossible. Large shark bites and scavenging in armpit and fluke. 6inch perfect circles were scavenged on the right under the throat region. There was a distinct 0.5m hole across just below the eye, could be worn from rocks or other trauma (not certain if prior to death or post mortem). Pictures are located on the MLML stranding network computer. Blubber slabs were taken for tagging study (collaboration with Jim Harvey, ONR project). There was an abscess near fluke that we biopsied. No other samples were taken due to the nature of the wave activity.",
SW-2010-1122496,SBMNH-2010-27,"Whale, humpback",CA,San Luis Obispo,Oceano,"Oceano Dunes, at Oso Flaco Creek",35.0295,decimal degrees,-120.6343,decimal degrees,CBD,N,N,N,,N,,,Y,N,N,N,,N,CBD,N,N,N,N,,,,8/4/10,Beach or Land,Moderate Decomposition,N,8/5/10,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,PUP/CALF,862,cm,actual,,,,Y,N,Y,N,N,,,N,,,N,N,N,N,,Y,limited,8/5/10,,
SW-2010-1138316,BLANK,"Whale, blue",CA,Monterey,Monterey,offshore monterey,36.7,decimal degrees,-121.968611,decimal degrees,Y,Y,N,N,,N,,,Y,N,N,N,,N,N,N,N,N,N,,,,8/4/10,,Alive,N,8/4/10,Alive,Y,N,N,N,N,N,N,,,N,N,N,,N,Y,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,0,cm,estimate,,,,N,N,N,N,N,,,N,,,N,N,N,N,,N,,,whale watch vessel collided with free swimming animal,
SW-2010-1122523,SBMNH-2010-31,"Whale, blue",CA,Santa Barbara,San Miguel Island,Northwest Cove,34.03384,decimal degrees,-120.61297,decimal degrees,Y,Y,N,N,,N,,,N,Y,N,N,,N,N,N,N,N,N,,,,8/25/10,Beach or Land,Moderate Decomposition,N,9/28/10,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,SUBADULT,2134,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,"Reported by National Park Service, Santa Barbara Museum of Natural History was primary responder, The Marine Mammal Center assisted and is storing additional samples. Vertebrae fractured due to boat strike trauma. MULTIPLE FRAGMENTS OF VERTEBRAE & RIBS IN ABDOMINAL CAVITY",
SW-2010-1134841,TMMC-C-334,"Whale, fin",CA,Alameda,Oakland,"on bow of ship Northern Vitality, docked at Port of Oakland berth 57",37.796715,decimal degrees,-122.316542,decimal degrees,CBD,N,N,N,,N,,,Y,N,N,N,,N,Y,N,Y,N,N,"boat strike(suspected post mortem, trauma",,,9/16/10,Beach or Land,Moderate Decomposition,N,9/16/10,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,UNKNOWN,0,cm,estimate,,,,Y,N,N,N,Y,,,N,,,N,N,Y,N,,N,,,,
SW-2010-1135678,CAS-MEF-588,"Whale, fin",CA,San Francisco,San Francisco,Ocean Beach at Lawton Street.,37.757289,decimal degrees,-122.510513,decimal degrees,Y,Y,N,N,,N,,,Y,Y,N,N,,N,CBD,N,N,N,N,,,,9/19/10,Beach or Land,Advanced Decomposition,N,9/20/10,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,SUBADULT,1540,cm,estimate,,,,Y,N,Y,N,N,,,N,37.07573,-122.51051,N,N,N,N,,N,,,,
SW-2010-1137067,TMMC-C-337,"Whale, blue",CA,San Mateo,,Bean Hollow State Beach (Monterey Bay National Marine Sanctuary) 400 yards North of South parking lot.,37.227088,decimal degrees,-122.410583,decimal degrees,Y,Y,N,N,,N,,,N,Y,N,N,,N,Y,N,Y,Y,N,"trauma, boat strike",,,10/2/10,Beach or Land,Advanced Decomposition,N,10/3/10,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,"Dead blue whale with dead fetus (C-337-F, male, 525cm) lying next to adult.",FEMALE,ADULT,2430,cm,actual,0,kg,estimate,Y,Y,N,N,N,,,N,,,N,N,N,N,,Y,limited,10/6/10,"Dead blue whale with dead male fetus (C-337-F, 525 cm) lying next to adult. Sample or Specimen Type/Diagnostic Test/Disposition: skin / genetics cetacean / SWFSC-NMFS (S. Chivers) feces / archive-80 / TMMC skin / archive-20 / CAS blubber / archive-20 / CAS muscle / archive-20 / CAS baleen / archive-20 / TMMC, MLML baleen / archive-20 / CAS skeletal bones / museum (CAS) / CAS",
SW-2010-1138196,CAS-KGS-227,"Whale, humpback",CA,Marin,Stinson,Bolinas Bay,37.898367,decimal degrees,-122.660867,decimal degrees,CBD,N,N,N,,N,,,Y,N,N,N,,N,CBD,N,N,N,N,,,,10/25/10,Beach or Land,Advanced Decomposition,N,10/25/10,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,SUBADULT,740,cm,estimate,,,,N,Y,N,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2010-1138206,BLANK,UNIDENTIFIED WHALE,CA,Los Angeles,,Off of San Clemente Island.,32.41,decimal degrees,-118.51,decimal degrees,CBD,N,N,N,,N,,,N,N,N,N,,N,N,N,N,N,N,,,,10/31/10,Floating,Advanced Decomposition,Y,,,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,0,cm,estimate,,,,Y,N,N,N,N,,,N,,,N,N,Y,N,,N,,,,
SW-2010-1126333,SWC-PM-10-176B,"Whale, sperm",CA,San Diego,DEL MAR,TORREY PINES. ANIMAL IN THE SURF AT TORREY PINES STATE BEACH.,32.55.975,decimal degrees,117.15.617,decimal degrees,N,N,N,N,,N,,,Y,N,N,N,,N,N,Y,Y,N,N,,,,12/12/10,Beach or Land,Alive,N,12/12/10,Alive,N,Y,N,N,N,N,N,,,N,N,N,,Y,Y,N,Y,N,N,N,N,N,N,,,CALF IN SURF AND TRYING TO BEACH ITSELF.,MALE,PUP/CALF,144,in,estimate,2500,lb,estimate,N,N,N,N,N,,,N,,,N,N,N,N,,NA,,,"CALF IN SURF AND TRYING TO BEACH. STILL ALIVE, ANTIBIOTICS AND ANTI-INFLAMMATORY MEDICATIONS WERE GIVEN FROM THE VETS. NMFS ADVISED THE ANIMAL BE PUSHED OUT PAST SURFLINE AND THE ANIMAL SWAM ON OWN. ANIMAL DID HAVE ABRASIONS ON PECTORAL FLIPPERS AND FLUKES FROM ROCKS UNDERWATER. BLUBBER LAYER LOOKED GOOD AND NO OTHER SIGNS OF TRAUMA WERE SEEN.",
SW-2011-1129082,MLML-MM-2430,"Whale, gray",CA,Monterey,Esalen,Big Sur,36.120011,decimal degrees,-121.633306,decimal degrees,CBD,N,N,N,,N,,,N,N,N,N,,N,N,N,N,N,N,,,,3/7/11,Floating,Moderate Decomposition,N,3/7/11,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,SUBADULT,360,in,estimate,0,lb,estimate,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,"Our team attempted to access the carcass however conditions were dangerous, therefore, level A data could not be completed. Photos of the carcass were taken at the pull off above the carcass (John Little, just after mile marker 32 on Hwy 1 south, Big Sur). Sex could not be determined. It appeared the animal was a subadult, and the length was estimated.",
SW-2011-1190324,TMMC-C-341,"Whale, gray",CA,Marin,,Angel Island State Park - Perles Beach (San Francisco Bay),37.8556,decimal degrees,-122.4399,decimal degrees,Y,Y,N,N,,N,,,N,N,Y,N,,N,Y,N,Y,N,N,boat strike,,,4/18/11,Floating,Fresh Dead,N,4/19/11,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,ADULT,1145,cm,actual,,kg,estimate,Y,Y,N,N,N,,,N,,,N,N,N,N,,Y,complete,4/19/11,,
SW-2011-1148889,LACM-DSJ-2320,"Whale, humpback",CA,Los Angeles,San Pedro,"Royal Palms Beach, White Point",33.715,decimal degrees,-118.318889,decimal degrees,Y,Y,N,N,,N,,,Y,N,N,N,,,CBD,N,N,N,N,,,,5/8/11,Beach or Land,Moderate Decomposition,N,5/8/11,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,SUBADULT,445,in,estimate,,,,Y,N,N,N,Y,,,N,,,N,N,N,N,,N,,,"Animal Struck just forward of the dorsal fin.Only 20 feet of the animal remained after the prop cut the head. pectoral fins, and thoracic cavity away.",
SW-2011-1131790,MLML-MM-2434,"Whale, gray",CA,Monterey,Monterey,Del Monte Beach,36.6136,decimal degrees,-121.8968,decimal degrees,CBD,N,N,N,,N,,,N,N,N,N,,N,N,N,N,N,N,,,,5/10/11,Floating,Advanced Decomposition,N,5/12/11,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,730,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,Animal was first reported by a whale watching boat when it was floating in the middle of Monterey Bay. Killer whales were feeding on carcass. Beached two days later on Del Monte,
SW-2011-1133429,SBMNH-2011-01,"Whale, gray",CA,San Luis Obispo,Cambria,Rancho Marino Reserve,35.5393,decimal degrees,-121.095,decimal degrees,CBD,N,N,N,,N,,,N,N,N,N,,,Y,N,Y,N,N,Killer Whale attack,,,5/14/11,,Moderate Decomposition,Y,,,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,PUP/CALF,609,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2011-1132815,SBMNH-2011-03,"Whale, gray",CA,Santa Barbara,Gaviota,2 mi S of El Capitan State Beach,34.45,decimal degrees,-119.99,decimal degrees,CBD,N,N,N,,N,,,N,N,N,N,,N,N,N,N,N,N,,,,5/30/11,Beach or Land,Advanced Decomposition,Y,,,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,,600,cm,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2011-1188912,TMMC-C-343,"Whale, gray",CA,San Mateo,Pescadero,Pescadero State Beach - North,37.267,decimal degrees,-122.417,decimal degrees,Y,Y,N,Y,,Y,", Hit by boat",,N,N,Y,N,,N,CBD,N,N,N,N,,,,6/11/11,Beach or Land,Fresh Dead,N,6/11/11,Fresh Dead,N,N,N,N,N,N,N,,The Marine Mammal Center,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,SUBADULT,860,cm,actual,,kg,estimate,Y,Y,N,N,N,,,N,,,N,N,N,N,,Y,limited,6/12/11,"25 ft, no odor, no bloating, body intact, slash marks on body, white baleen. COD: Boatstrike Samples collected: skin tongue blubber skin,blubber muscle liver lung eye parasites parasites blubber blubber kidney mammary tissue abscess skin kidney melon abscess (caudal) abscess (capsule) feces blubber skin liver blubber multiple tissues skin genetics TMMC archive-80 TMMC lipid composition TMMC archive-20 TMMC archive-80 TMMC archive-80 TMMC magnetic sensor analysis UCSC-G. Oliver parasitology Citadel-J.Zardus parasitology NMLC-S.Rogers Radionuclides TMMC Radionucleotides TMMC archive-20 Discarded archive-80 TMMC archive-80 TMMC genetics SWFSC-NMFS-S. Chivers archive-20 Discarded archive-20 aerobic culture TMMC aerobic culture TMMC domoic acid NWFSC biopsy UAF- T. O'Hara TMMC archive-20 archive-20 histology U of IL - K. Colegrove archive-80 TMMC",
SW-2011-1189015,TMMC-C-347,"Whale, gray",CA,Del Norte,Klamath,"near mouth of Klamath River, under 101 bridge overpass.",41.5208,decimal degrees,-124.0386,decimal degrees,N,N,N,N,,N,,,N,N,Y,N,,N,Y,Y,N,N,Y,"bad location, septicemia",,,6/24/11,Beach or Land,Alive,N,8/16/11,Fresh Dead,N,N,N,N,N,Y,N,,The Marine Mammal Center,N,N,N,,Y,N,Y,N,N,N,Y,Y,N,N,,,Swimming in the Klamath river for 54 days before it died.,FEMALE,ADULT,1372,cm,actual,0,kg,estimate,Y,N,Y,N,N,,,N,,,N,N,N,N,,Y,complete,8/16/11,multiple samples taken: tongue lymph node adrenal mediastinum feces stomach contents stomach contents skin skin blubber blubber blubber liver kidney aqueous humor flukes fluid under nipple blubber blubber liver stomach contents fluid under nipple lung feces kidney blood blubber whole blood serum serum serum multiple tissues feces lung blood archive-80 TMMC archive-80 TMMC archive-80 TMMC archive-80 TMMC Domoic acid TMMC Domoic acid TMMC archive-20 TMMC genetics SWFSC-NMFS-S. Chivers archive-80 TMMC archive-80 TMMC archive-80 TMMC archive-20 TMMC archive-80 TMMC archive-20 TMMC archive-20 TMMC parasitology NMLC-S.Rogers archive-20 Discarded contaminants (ECD) NWFSC archive-20 TMMC archive-80 CA Fish and Game algal species ID Aquatic Analysts aerobic culture TMMC aerobic culture TMMC domoic acid NWFSC aerobic culture TMMC archive-20 contaminants SIU - Chen histology U of IL - K. Colegrove Domoic acid TMMC archive-80 TMMC archive-80 TMMC,
SW-2011-1137308,SWFSC-KXD0209,"Whale, fin",CA,San Diego,POINT LOMA,"SUNSET CLIFFS, IN COVE BELOW WASTE WATER TREATMENT PLAN",32.681109,decimal degrees,-117.248331,decimal degrees,Y,Y,N,N,,N,,,Y,Y,N,N,,N,Y,N,Y,Y,N,fractured vertebral processes,,FETUS FOUND LAYING NEXT TO FEMALE ON NOV. 21. PRESUME DECOMP GASES EXPELLED IT,11/19/11,Beach or Land,Fresh Dead,N,11/23/11,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,ADULT,2000,cm,actual,,,,Y,N,N,N,N,,,Y,32d46',117d29',N,N,N,N,,Y,limited,11/23/11,fractures along 4 meter length of vertebral column and significant muscle hemorrhage surrounding this area indicate ante-mortem ship strike. Carcass sunk 5 miles off La Jolla as part of whale fall study.,
SW-2011-1184840,CAS-MEF-595,"Whale, killer",CA,Marin,Inverness,Driftwood beach in Point Reyes National Seashore,38.19407,decimal degrees,-122.96524,decimal degrees,CBD,N,N,N,,N,,,N,Y,N,N,,,Y,N,Y,N,N,fresh and old breaks in one rib,,,11/24/11,Beach or Land,Moderate Decomposition,N,11/25/11,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,SUBADULT,551,cm,actual,,,,Y,N,N,N,N,,,N,,,N,N,N,Y,fleshy bits left to wash out,Y,complete,11/26/11,"One rib was broken antemortem with evidence of bone callus and probable osteomyelitis. A second full fracture was found on the same rib but not known of this occurred postmortem. This animal was know to researchers as ""O319"", an offshore orca who was last seen alive off the coast of Vancouver Island, BC, Canada, a couple of months prior to washing up dead in Point Reyes National Seashore.",
SW-2012-1185468,CAS-MEF-597,"Whale, minke",CA,Marin,Olema,Cove south Alamere FAlls,37.951824,decimal degrees,-122.783106,decimal degrees,CBD,N,N,N,,N,possible entanglement marks in photo,,N,N,N,N,,N,CBD,N,N,N,N,,,,12/27/11,Beach or Land,Moderate Decomposition,N,1/16/12,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,SUBADULT,200,in,estimate,,,,Y,Y,N,N,N,,,N,,,N,N,N,N,,N,,,"carcass mostly in surf and inaccessible, sex and estimated length by photos",
SW-2012-1143895,LACM-DSJ-2329,"Whale, gray",CA,Los Angeles,Santa Monica,0.7 mi S Temescal Canyon Road,34.03,decimal degrees,-118.52527,decimal degrees,CBD,N,N,N,,N,,,N,N,N,N,,,,N,N,N,N,,,,1/7/12,Beach or Land,Fresh Dead,N,1/8/12,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,PUP/CALF,475,cm,actual,,,,Y,Y,Y,N,N,,,N,,,N,N,N,N,,N,,,,
SW-2012-1139137,MLML-MM-2501,"Whale, gray",CA,Monterey,Moss Landing,Monterey Dunes Colony - Salinas River State Beach,,decimal degrees,,decimal degrees,N,N,N,N,,N,,,Y,N,Y,N,,N,Y,N,N,N,Y,Premature,,,1/16/12,Beach or Land,Alive,N,1/17/12,Fresh Dead,N,N,N,N,Y,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,PUP/CALF,394,cm,actual,500,lb,estimate,Y,N,Y,N,N,,,N,,,N,N,N,N,,Y,complete,1/17/12,Animal was initially reported to TMMC as live-stranded and was subsequently euthanized by D. Casper. See necropsy report for entire chain of events,
SW-2012-1139258,SWFSC-KXD0210,"Whale, gray",CA,San Diego,,"Ponto State Beach, 50 yards north of Jetty",33.089101,decimal degrees,-117.313962,decimal degrees,CBD,N,N,N,,N,,,Y,N,N,N,,N,Y,N,Y,N,N,"possible orca rake marks, 1/3 of body missing",,,2/12/12,Beach or Land,Advanced Decomposition,N,2/12/12,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,PUP/CALF,450,cm,estimate,,,,Y,N,N,Y,N,,,N,,,N,N,N,N,,N,,,"Carcass remains measured 300 cm in length; 1/3 of posterior portion of body missing; Total body length estimated to be 450 cm. Fetal folds present, indicating this was neonate. Sex determined via genetics.",
